Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Hr Load,Player Load,Sprints,Accelerations,Decelerations,Power Plays,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Sprint Distance Per Min (m/min),Work Ratio,Hr Max (bpm),Max Acceleration (m/s/s),Max Deceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46158,16.05 VS Wisla Krakow,Zieba,all, game, 46158.497003472,46158.574710648,"4816",9.3231,359.482,0,405.7495,8,110,118,85,30.7842,116.1521,7.0211,4.4786,34.1605,0,6.893,6.6223,"0.7775","7.5429","0.6433","0.3339","0.0255","3375","3187.1","104.7","44.1","3","307","12","0","0","0","0","45","22","11","7","3.4309","0.9279","0.3016","0.1174","0.0471","1905.6","351.4","96.3","34.8","12.9","3.2364","0.8795","0.2867","0.0751","0.0205","3815.8","340.3","111","35.5","10.3","1.3573","1.9918","2.0118","1.4263","0.852","0.5054","0.4205","0.229","0.1462","0.1063","0.2765","3858.2","1204.6","708.9","389.5","204.2","110","82","45.5","30.6","21.7","58.7","0","0","0","0","0","0","198","156","72","38","0","191","140","78","40"
46158,16.05 VS Wisla Krakow,Bartosz Pawlak,all, game, 46158.497295139,46158.579601852,"5885",10.2036,126.957,0,457.5092,3,97,100,69,31.2643,104.0296,7.0374,1.2944,36.8953,0,5.726,7.963,"5.8009","3.7483","0.5274","0.1138","0.0131","6028.6","979.1","87","15","1.5","214","1","0","0","0","0","32","26","6","5","3.8333","0.9657","0.2658","0.0958","0.0555","2400","394.8","93.6","29.2","15.2","3.7349","0.9328","0.2422","0.0615","0.0161","3625.5","416.8","102.5","26.6","7","1.6824","2.6926","2.1431","1.5398","0.8995","0.4957","0.2386","0.1664","0.1007","0.0588","0.1859","3777.1","1635.1","775.3","431.7","217.4","111.3","51.8","35.2","21.4","13.3","41.6","0","0","0","0","0","0","277","179","67","30","0","292","167","53","47"
46158,16.05 VS Wisla Krakow,Dziewa,all, game, 46158.495261574,46158.580710648,"5887",11.3015,243.797,0,553.9947,6,96,105,89,29.6562,115.1846,7.51,2.4848,43.6623,0,5.8623,7.2934,"6.4555","3.8109","0.7913","0.242","0.0018","6220.3","1000.4","129.3","32.6","0.2","1120","12","0","0","0","0","41","33","10","5","4.2284","1.079","0.3139","0.0982","0.0516","2370.6","408","100.1","28.2","13.1","4.122","1.0384","0.3038","0.0559","0.0104","3903.1","412.1","115.7","25.8","6.1","1.3125","3.5135","2.4035","1.4399","0.9017","0.5886","0.3992","0.2264","0.1658","0.1133","0.2371","3442.6","2089.8","871.1","401.5","213.9","127.4","80.5","47.7","33.9","23.6","50.8","0","0","0","0","0","0","295","173","72","24","0","254","171","64","41"
46158,16.05 VS Wisla Krakow,Lesniewski,all, game, 46158.494665509,46158.579553241,"5885",10.146,69.686,0,437.4299,1,54,83,60,31.2002,103.4425,6.5731,0.7105,36.4779,0,6.0134,6.8889,"6.1379","3.5933","0.3451","0.0653","0.0044","6326.4","942.2","56.5","8.7","0.5","141","0","0","0","0","0","29","24","6","1","4.0841","0.8241","0.2282","0.0824","0.0321","2494.9","349.8","85.8","26","8.3","3.7878","0.8723","0.1974","0.0293","0.0084","3863.9","401.8","85.4","13.9","4.5","1.766","2.8908","2.222","1.4829","0.8062","0.417","0.2214","0.1167","0.0675","0.0466","0.1088","3974.3","1718.9","808.1","414.6","197.2","96.5","49.2","26","15.3","10.3","23.9","0","0","0","0","0","0","282","170","37","17","0","249","147","52","31"
46158,16.05 VS Wisla Krakow,Usarek,all, game, 46158.492114583,46158.563273148,"4651",8.5193,196.682,0,350.4227,3,82,103,86,29.9922,109.9024,6.9121,2.5373,36.2573,0,5.7245,6.3519,"0.5151","6.9902","0.8173","0.1967","0","2970.4","3017.7","133.5","26.4","0","110","1","0","0","0","0","37","33","12","4","3.0265","0.823","0.2243","0.1135","0.0607","1786.7","299.8","72.1","31.1","14.8","3.1141","0.8767","0.226","0.0475","0.007","3501.4","330.7","86.1","21.9","3.4","0.9917","2.1932","1.6554","1.2206","0.8279","0.5896","0.3749","0.2441","0.1558","0.0963","0.1698","3367.1","1324.3","591.8","339.3","190.8","121.3","73.6","50.1","31.9","20.6","37.2","0","0","0","0","0","0","207","119","66","16","0","197","110","57","46"
46158,16.05 VS Wisla Krakow,Tutka,all, game, 46158.56394213,46158.57959375,"1338",2.1028,18.367,0,92.6222,0,16,17,14,27.0562,94.2952,7.474,0.8236,40.5014,0,4.7511,5.6889,"0.2177","1.7321","0.1346","0.0184","0","587.5","739.9","22.4","2.5","0","89","4","0","0","0","0","6","2","5","1","0.8365","0.1753","0.0526","0.018","0.008","559.5","73.8","18.1","5.3","2","0.7914","0.1655","0.0432","0.0105","0.0018","591.5","76.2","19.5","5.2","1.2","0.3215","0.5669","0.3879","0.3163","0.2301","0.1279","0.0705","0.0217","0.0248","0.0109","0.0244","672.2","342.7","137.5","86.2","52.9","27.5","14.9","5","5.1","2.6","5.7","0","0","0","0","0","0","48","32","10","6","0","52","25","8","9"
46158,16.05 VS Wisla Krakow,Banas,all, game, 46158.559208333,46158.579809028,"1747",3.2196,127.61,0,131.9692,4,43,34,37,32.3043,110.5758,9.2412,4.3827,43.8058,0,6.12,7.1823,"1.5587","1.2789","0.2544","0.1064","0.0212","1399.9","321.6","42","14","2.4","78","0","0","0","0","0","17","15","4","1","1.1674","0.3287","0.1031","0.0366","0.0238","695.6","123.1","31.2","10.4","6","1.1328","0.276","0.1113","0.0291","0.0108","746.8","110.1","39.5","12.2","5","0.4726","0.7324","0.5426","0.4731","0.3757","0.206","0.1335","0.0862","0.0515","0.0379","0.1081","799.6","447.4","192.4","127.4","83.9","43.3","26.3","18","11","8","22.6","0","0","0","0","0","0","60","46","24","19","0","57","55","17","17"
46158,16.05 VS Wisla Krakow,Bialooki,all, game, 46158.497263889,46158.580059028,"5886",9.1893,74.8,0,423.7579,2,69,65,61,28.9362,93.6727,6.0797,0.7625,30.9862,0,5.9778,6.8356,"5.5544","3.2105","0.3496","0.0739","0.0009","6242","843.8","57.8","9.8","0.1","498","7","0","0","0","0","32","21","6","2","3.8056","0.8047","0.1948","0.0477","0.015","2580.7","340.8","70.7","15.9","4.9","3.3479","0.752","0.1828","0.0338","0.0051","3674.5","359.7","86.5","16.8","3","1.9611","2.2797","1.9689","1.374","0.7185","0.3821","0.1956","0.1171","0.065","0.044","0.0832","4306","1374.4","710.8","386.9","175.4","86.1","44.3","25.7","15","9.5","19.4","0","0","0","0","0","0","240","140","58","11","0","231","140","48","17"
46158,16.05 VS Wisla Krakow,Tyszko J,all, game, 46158.494033565,46158.58074537,"5890",12.4498,128.473,0,518.0278,4,113,124,126,30.0002,126.8231,8.1624,1.3087,43.3588,0,5.5112,6.8728,"5.3637","6.0537","0.9039","0.1285","0","5788.9","1535.4","150.2","17.4","0","301","2","0","0","0","0","60","35","17","14","4.7281","1.1609","0.3326","0.1086","0.0372","2354","405.5","110.9","34.3","10.7","4.546","1.1698","0.2957","0.0597","0.0113","3977.5","437.1","124.7","30.5","6.7","1.3322","2.5088","2.5753","2.4051","1.6396","0.8712","0.4679","0.2542","0.1488","0.0919","0.1549","3647.1","1499","898.2","636.9","374.2","188.9","101.4","55.4","33.6","21","36.2","0","0","0","0","0","0","281","202","82","31","0","267","188","85","39"
46158,16.05 VS Wisla Krakow,Garczynski,all, game, 46158.497297454,46158.579613426,"5886",10.8157,86.243,0,460.6709,3,78,99,79,29.3122,110.2515,7.3549,0.8791,40.7241,0,5.3778,7.6267,"5.8629","4.3833","0.4832","0.0862","0","5867.1","1153.5","79.7","11.7","0","197","3","0","0","0","0","44","21","11","3","4.1513","0.9775","0.2694","0.0866","0.0415","2417.3","395.3","93.4","26.7","11.4","4.0125","0.9746","0.2416","0.0488","0.012","3613.5","421.4","104.9","22.3","5.8","1.5131","2.7225","2.5723","1.8039","0.9921","0.5195","0.2564","0.1431","0.0983","0.0664","0.1282","3550.7","1628.7","913.8","502.1","242","117","59.1","31.8","22.6","14.5","29.7","0","0","0","0","0","0","294","187","55","23","0","285","154","52","47"
