Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Hr Load,Player Load,Sprints,Accelerations,Decelerations,Power Plays,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Sprint Distance Per Min (m/min),Work Ratio,Hr Max (bpm),Max Acceleration (m/s/s),Max Deceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46088,Polonia U17 vs Legia U17,Bartosz Pawlak,all, game, 46088.412898148,46088.495582176,"5855",10.6132,175.793,0,490.9843,5,100,112,66,31.3763,108.7607,7.3088,1.8015,39.4986,0,5.3741,7.4408,"5.9181","4.0576","0.4617","0.1573","0.0185","5965.1","1079.7","76.5","20.4","2.1","212","4","0","0","0","0","37","14","10","5","3.9444","1.0865","0.2643","0.0982","0.0496","2346.8","432","95.6","31.1","14.4","3.8277","0.9992","0.2703","0.0596","0.0135","3640.9","435.7","114.1","26.8","6.4","1.558","2.6095","2.661","1.6377","0.8624","0.4768","0.2672","0.1826","0.0985","0.075","0.1845","3676.6","1546.1","956.5","462.1","214.7","112.1","59.5","38.6","22.3","15.7","39.6","0","0","0","0","0","0","309","201","73","27","0","301","171","71","41"
46088,Polonia U17 vs Legia U17,Banas,all, game, 46088.472630787,46088.496134259,"1979",3.7832,123.281,0,151.6499,2,47,39,36,34.0883,114.7012,9.4405,3.7377,44.7727,0,6.2586,7.9519,"1.8694","1.4341","0.3564","0.0985","0.0248","1589.3","367.6","57.9","13.2","2.7","68","1","0","0","0","0","16","9","10","1","1.424","0.3609","0.1118","0.0486","0.023","827.2","125.4","33.5","12.5","5.8","1.3237","0.3245","0.1212","0.036","0.0094","843","122.8","42.4","13.5","4.6","0.605","0.7879","0.7514","0.5584","0.3661","0.2338","0.1391","0.086","0.0679","0.0413","0.1466","919.4","467.2","267.9","151.9","82","45.7","27.5","17.5","13.3","8.7","29.6","0","0","0","0","0","0","76","48","28","19","0","80","52","22","17"
46088,Polonia U17 vs Legia U17,Jawor,all, game, 46088.484788194,46088.49562037,"884",1.4942,2.151,0,65.4179,0,11,8,12,25.3602,101.4149,7.7761,0.146,41.558,0,4.4556,6.0485,"0.7803","0.5944","0.1174","0.0022","0","762.2","153.8","19.5","0.3","0","49","2","0","0","0","0","6","4","2","0","0.5967","0.1671","0.032","0.0054","0.0035","375.3","67.1","12.6","1.7","1.1","0.5004","0.1507","0.0286","0.0091","0.0006","390.8","68.3","14.2","4.4","0.3","0.2198","0.3642","0.3117","0.2399","0.1478","0.1006","0.0476","0.027","0.0122","0.0097","0.0137","460.5","216.1","112.4","65.2","34.9","21","10.7","6.2","3","2.4","3.4","0","0","0","0","0","0","39","24","9","2","0","41","27","5","3"
46088,Polonia U17 vs Legia U17,Lesniewski,all, game, 46088.413630787,46088.48568287,"5017",9.6172,129.513,0,428.2686,2,79,102,72,29.4882,115.0148,7.5715,1.5489,43.0017,0,5.7969,6.6045,"5.5962","3.3395","0.552","0.1295","0","5236.3","881.4","90.1","17.3","0","235","4","0","0","0","0","39","26","6","1","3.5745","0.8914","0.2975","0.0951","0.0339","2019.3","346.6","97.6","29.1","9.4","3.5345","0.8987","0.2277","0.0488","0.0151","3230.5","370.4","91.6","22.8","7.8","1.281","2.8919","2.1028","1.3267","0.7547","0.4525","0.2674","0.1714","0.1173","0.0796","0.1719","2927.1","1700.5","764","377.1","182.4","100.6","56.2","36.2","25.1","16.9","39","0","0","0","0","0","0","295","146","49","30","0","239","144","70","32"
46088,Polonia U17 vs Legia U17,Dziewa,all, game, 46088.412998843,46088.496238426,"5903",10.6135,120.213,0,499.0992,2,76,80,61,30.1922,107.879,6.9848,1.2219,42.8732,0,6.212,5.9519,"6.4168","3.5658","0.5107","0.1194","0.0009","6126.7","966.6","82.5","16","0.1","671","8","0","0","0","0","30","24","6","1","4.4012","0.8002","0.2016","0.0744","0.0348","2547.3","323.5","65.8","21.5","9.7","4.0695","0.7543","0.2185","0.0479","0.011","3773.7","336.5","87.9","20","6","1.3426","3.5626","2.5504","1.4156","0.6289","0.4107","0.219","0.1387","0.0941","0.0761","0.1749","3372.5","2119.6","907","400","155.8","88.1","45.4","30.1","19.7","15.9","37.8","0","0","0","0","0","0","254","135","55","21","0","260","105","48","32"
46088,Polonia U17 vs Legia U17,Zieba,all, game, 46088.412988426,46088.473226852,"3967",8.1005,93.524,0,338.5087,0,112,98,83,28.0482,122.5184,7.9349,1.4145,39.9508,0,6.0667,6.7201,"0.565","6.8278","0.6141","0.0935","0","2261.4","2829.4","100.8","12.8","0","231","2","0","0","0","0","46","26","6","5","2.9226","0.8509","0.271","0.0867","0.0577","1575.4","303.6","88.5","25.2","15.1","2.7794","0.7848","0.2577","0.0685","0.0211","2758.2","297.7","97.9","31","11.8","1.0373","1.7991","1.6965","1.2908","0.8674","0.5285","0.3148","0.169","0.1187","0.0888","0.1898","2655.5","1087.8","593","351.8","202.8","115","67.8","38.1","26.3","20.3","46","0","0","0","0","0","0","153","135","72","40","0","160","145","52","46"
46088,Polonia U17 vs Legia U17,Baginski,all, game, 46088.412922454,46088.497747685,"6040",10.8936,75.715,0,519.2767,1,128,155,92,28.2322,108.2148,7.4198,0.7521,39.6485,0,5.4356,8.8038,"5.6527","4.5482","0.617","0.0757","0","6043.5","1172.4","102.7","10.3","0","508","11","0","0","0","0","42","37","12","1","4.0366","1.1172","0.3432","0.1149","0.0474","2406.1","465","125.5","38.9","14","3.7522","1.0917","0.306","0.0682","0.0162","3609.6","487.9","133.9","38.1","9.9","1.4114","2.7378","2.3066","1.8182","1.1246","0.5843","0.3538","0.2","0.1116","0.0911","0.1543","3737.2","1653.7","824.1","499.7","267.3","135.6","80.5","46.5","26.6","20.2","37.5","0","0","0","0","0","0","286","213","90","38","0","253","198","108","47"
46088,Polonia U17 vs Legia U17,Ciempiel,all, game, 46088.413017361,46088.485128472,"4993",10.7188,27.359,294.9893,456.9737,0,72,107,88,25.8882,128.8063,8.3511,0.3288,46.5098,204,6.5823,7.0482,"4.889","5.4755","0.327","0.0274","0","4743.5","1428.9","54.1","3.8","0","342","7","0","0","0","0","49","29","8","2","4.0789","0.9917","0.2853","0.0758","0.0333","1972","374.8","100.8","24.9","9.9","3.9472","1.0234","0.2398","0.0353","0.0082","3212.4","410.3","103.2","17.8","4.2","1.1295","2.2913","2.6547","2.2978","1.1792","0.534","0.2722","0.1567","0.0857","0.0422","0.0757","2739.4","1380.4","919.1","621.6","286.6","127.9","68","37.5","20","10.4","19.4","3577.2","205.5","164.3","759.4","1523.9","0","280","202","54","18","0","259","175","70","37"
46088,Polonia U17 vs Legia U17,SKROK,all, game, 46088.412997685,46088.473341435,"3977",8.6335,60.747,0,374.7808,2,77,64,72,27.4402,130.251,8.052,0.9165,47.0395,0,5.24,7.7607,"0.3684","7.7338","0.4706","0.0607","0","2021.9","3105.3","78.2","8.3","0","315","3","0","0","0","0","38","21","10","3","3.3088","0.8142","0.2226","0.0556","0.0221","1617.1","302.2","70.9","16.8","6.2","3.1972","0.7868","0.1812","0.0361","0.009","2798.4","299.7","78.8","18.7","4.9","0.7359","2.1285","2.0359","1.6583","0.9385","0.4928","0.2615","0.1518","0.0943","0.056","0.0798","2323.9","1253.3","704.7","451.2","225.5","109.8","58.1","33.1","21.4","12.8","19.9","0","0","0","0","0","0","173","135","55","22","0","203","128","40","24"
46088,Polonia U17 vs Legia U17,Pustola,all, game, 46088.477395833,46088.495780093,"1536",2.8868,16.136,0,145.6366,0,20,34,24,27.2802,112.7651,8.8005,0.6303,47.2488,0,5.2223,6.0667,"1.5114","1.1186","0.2406","0.0161","0","1256.8","289.2","40.2","2.2","0","472","4","0","0","0","0","9","8","4","3","1.08","0.2306","0.0807","0.0288","0.0142","614.4","88.6","26.1","8.8","3.7","1.1108","0.2773","0.0514","0.0109","0.0022","711.9","108.2","20.9","4.4","1.4","0.431","0.7147","0.5917","0.4049","0.3161","0.1836","0.1044","0.0521","0.0311","0.0229","0.0343","674.3","428.8","209.9","112.3","71.2","38.8","22","11.6","6.4","5.2","7.9","0","0","0","0","0","0","77","47","14","6","0","59","40","20","14"
