Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Hr Load,Player Load,Sprints,Accelerations,Decelerations,Power Plays,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Sprint Distance Per Min (m/min),Work Ratio,Hr Max (bpm),Max Acceleration (m/s/s),Max Deceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46142,Polonia U17 VS Wisła Płock,Jemiola,all, game, 46142.668709491,46142.728523148,"3934",8.0688,151.034,0,335.9457,5,78,90,74,29.3762,123.0626,7.7764,2.3035,40.8754,0,5.5233,7.0182,"0.5791","6.76","0.5787","0.151","0","2352.8","2700.3","94.4","20.4","0","138","5","0","0","0","0","39","20","9","6","3.0261","0.763","0.2189","0.0844","0.0406","1588.1","282.2","75.5","26.5","11.1","2.8477","0.8312","0.2076","0.0388","0.0106","2750.3","326.2","83.3","18.5","6.2","0.9369","1.6959","1.7418","1.5062","0.8309","0.5433","0.3203","0.1765","0.1121","0.0749","0.13","2648.8","1007.9","613.4","410","199","115.5","65.8","38.2","24.1","15.5","29.7","0","0","0","0","0","0","168","156","53","25","0","169","115","52","38"
46142,Polonia U17 VS Wisła Płock,Banas,all, game, 46142.668594907,46142.725800926,"3699",7.6839,199.145,0,310.6364,7,118,100,66,31.1843,124.6374,7.9398,3.2303,39.9385,0,5.8445,7.9378,"3.8061","3.1464","0.5323","0.1938","0.0053","4011.6","818.1","86.7","25.6","0.6","148","3","0","0","0","0","38","14","8","6","2.8382","0.7407","0.2453","0.0887","0.0584","1457.7","271.9","78.9","24.9","14.9","2.6602","0.7098","0.2416","0.0777","0.0234","2696.3","269.7","87","31.1","10.2","0.9758","1.7755","1.6832","1.2052","0.7405","0.4327","0.2682","0.1674","0.0965","0.0755","0.2633","2499.1","1066.3","593.5","331.9","174.7","93.6","53.6","34.8","20.8","16.1","58.2","0","0","0","0","0","0","167","113","75","43","0","158","120","58","42"
46142,Polonia U17 VS Wisła Płock,Pustola,all, game, 46142.733518519,46142.758782407,"1900",2.8453,45.262,0,140.9816,2,24,28,27,27.7442,89.8503,6.4718,1.4293,32.979,0,6.6001,6.7734,"1.5308","1.0529","0.2163","0.0453","0","1866.6","274.1","35.8","6.1","0","323","5","0","0","0","0","13","8","6","0","1.1054","0.2746","0.0653","0.0264","0.0133","739","112.3","20.6","7.7","3.5","1.0246","0.231","0.0815","0.0173","0.0058","1155.9","103","29.8","7.9","2.9","0.4907","0.6974","0.591","0.3689","0.2649","0.1589","0.0961","0.059","0.0321","0.0253","0.061","1286.7","428.1","213.8","100.6","61.3","33","19.5","11.9","7.6","5.9","14.2","0","0","0","0","0","0","73","44","13","11","0","68","37","16","12"
46142,Polonia U17 VS Wisła Płock,Lesniewski,all, game, 46142.668128472,46142.758388889,"6233",10.3152,118.845,0,459.0087,2,73,100,70,30.1762,99.296,6.3265,1.144,35.6068,0,6.3516,7.4578,"6.1979","3.5249","0.4736","0.1162","0.0026","6773","931.6","78.3","15.3","0.3","243","1","0","0","0","0","35","26","7","2","4.1147","0.8535","0.2339","0.0791","0.039","2540.2","352.3","84.5","25.8","10.2","3.8665","0.8514","0.2294","0.0399","0.0078","4282.3","385.3","94.4","18.8","4.7","1.7069","2.988","2.2635","1.3948","0.8315","0.4425","0.2343","0.151","0.1","0.0722","0.1305","4378.1","1761.1","815.8","392.1","201.2","100.5","51","32.4","22","15.7","28.6","0","0","0","0","0","0","274","147","55","18","0","240","131","68","32"
46142,Polonia U17 VS Wisła Płock,Garczynski,all, game, 46142.668234954,46142.753606481,"5932",11.2151,203.55,0,484.9867,4,75,93,80,30.6322,113.4364,7.275,2.0588,40.6589,0,5.1778,7.8667,"6.1235","4.3299","0.5582","0.1956","0.0079","6112.8","1145.1","91.4","25.8","0.9","287","18","0","0","0","0","39","25","12","4","4.3849","0.9029","0.2222","0.0858","0.0556","2486.6","347.9","75.2","24.7","15.6","4.3454","0.9567","0.2079","0.0466","0.007","3932.8","382","86.2","21.3","3.7","1.5077","3.0053","2.6266","1.757","0.9384","0.4959","0.3038","0.2138","0.1209","0.083","0.1627","3653.6","1788.6","929.7","486.3","225.4","110.2","64","43.4","23.9","16.7","34.2","0","0","0","0","0","0","276","160","56","19","0","254","145","40","53"
46142,Polonia U17 VS Wisła Płock,Usarek,all, game, 46142.668813657,46142.734565972,"4456",8.3786,66.677,0,344.5481,1,76,77,65,30.4242,112.8175,7.153,0.8978,40.6231,0,5.2445,8.1905,"0.5571","7.3125","0.4423","0.0667","0","2324.4","3274.6","73","9","0","127","8","0","0","0","0","40","15","8","2","3.2795","0.6947","0.218","0.0694","0.0374","1893.6","265.8","68.7","19.7","10.1","3.1256","0.6848","0.2074","0.0523","0.0093","3049.6","265.5","80.4","22.8","4.8","1.0924","2.5446","1.8279","1.195","0.6763","0.3876","0.2232","0.136","0.0918","0.0703","0.1336","2771.9","1532.6","644.7","334.3","162","87","50.1","30.6","21.1","15.4","31.3","0","0","0","0","0","0","189","124","59","17","0","197","110","40","37"
46142,Polonia U17 VS Wisła Płock,Tyszko J,all, game, 46142.668152778,46142.755275463,"5963",11.8093,202.537,0,489.8556,4,113,113,105,29.0402,118.826,7.7542,2.0379,39.6158,0,5.8489,6.9859,"5.5583","5.031","1.0174","0.2025","0","6026.1","1307.2","166.5","27.5","0","348","5","0","0","0","0","51","31","11","12","4.6478","1.0319","0.312","0.102","0.0579","2455.5","373.6","99","30.5","14.7","4.1891","1.0723","0.3025","0.0729","0.021","4002.4","391.6","117.7","31.9","10.4","1.5238","2.6235","2.4813","1.9365","1.2237","0.7893","0.4768","0.2534","0.174","0.0951","0.2319","3830.6","1599.2","859.7","526.2","287","162.7","96.3","53.2","38","20.2","54.2","0","0","0","0","0","0","224","193","73","40","0","249","174","67","46"
46142,Polonia U17 VS Wisła Płock,Jaworski,all, game, 46142.668695602,46142.758482639,"6241",10.986,81.652,0,509.6689,2,62,88,70,28.5122,105.6175,6.8034,0.785,36.6956,0,5.8384,6.9593,"6.0452","4.4236","0.4355","0.0817","0","6505.6","1169.5","71.5","11","0","631","5","0","0","0","0","41","18","9","2","4.141","1.0194","0.2827","0.0794","0.0328","2422.1","421.5","104.3","24.3","9.3","4.1636","1.0164","0.2027","0.0386","0.0095","4214.9","447","88.8","19.8","5.6","1.6789","2.7954","2.5323","1.867","0.9656","0.496","0.2463","0.1292","0.1019","0.062","0.1113","4147.9","1690.3","900.8","521","238.6","114.5","54.1","28.6","22.1","13.6","26.1","0","0","0","0","0","0","290","201","44","18","0","250","192","62","26"
46142,Polonia U17 VS Wisła Płock,Bartosz Pawlak,all, game, 46142.728259259,46142.754277778,"2020",3.4148,81.753,0,152.4701,2,39,36,29,29.3762,101.431,7.6832,2.4283,38.0561,0,6.0566,7.9445,"1.9027","1.1181","0.3123","0.0818","0","1896.3","290","50.8","10.9","0","98","2","0","0","0","0","13","11","2","3","1.2755","0.3181","0.1131","0.0323","0.0369","849.5","122.5","38.1","8.8","8.9","1.1768","0.3152","0.1081","0.031","0.0077","1031.1","133.2","40.6","11.7","3.6","0.5736","0.877","0.6373","0.4514","0.2622","0.2275","0.1191","0.0685","0.059","0.0328","0.1063","1171.6","528.4","233.4","127.3","61.6","45","22.8","15.1","12.2","7","23.6","0","0","0","0","0","0","77","58","25","14","0","70","56","14","22"
46142,Polonia U17 VS Wisła Płock,Zieba,all, game, 46142.668825231,46142.739376157,"4872",9.4533,181.305,0,396.6201,3,114,105,84,29.9362,116.4202,7.7799,2.2328,38.7384,0,7.063,5.9519,"0.6963","7.8348","0.741","0.1727","0.0086","2546.3","3403.7","121.3","23.2","1","217","4","0","0","0","0","45","28","7","4","3.6776","0.904","0.2848","0.111","0.0243","2015","341.1","88.8","32.2","6.9","3.232","0.8474","0.2597","0.089","0.0236","3130.3","334.8","97.1","37.6","11.7","1.3183","2.2841","2.0261","1.4139","0.8597","0.552","0.3312","0.1856","0.1158","0.0967","0.2698","3064.7","1405.9","702.9","388.8","203.3","116.5","68.3","39.6","24.7","20.4","60.4","0","0","0","0","0","0","194","140","63","51","0","236","117","77","28"
