Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Hr Load,Player Load,Sprints,Accelerations,Decelerations,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Sprint Distance Per Min (m/min),Work Ratio,Hr Max (bpm),Max Acceleration (m/s/s),Max Deceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46095,Polonia U17 vs Widzew U17,Bartosz Pawlak,all, game, 46095.516648148,46095.555748843,"3028",5.0299,129.721,0,228.9145,4,46,57,31.6483,99.6672,7.3982,2.5704,37.6976,0,6.0647,8.2667,"2.8597","1.7449","0.2956","0.1182","0.0115","2857.9","455.1","48.5","15.4","1.3","99","1","0","0","0","0","17","9","7","4","1.8832","0.462","0.1439","0.0649","0.0372","1235.4","189.4","46.8","18.9","10.3","1.7776","0.4793","0.1385","0.0352","0.0081","1596","205.7","56","15.7","4","0.8325","1.3496","0.965","0.7238","0.4246","0.2624","0.1527","0.0886","0.0521","0.0514","0.1272","1743.6","820.5","351.4","203.9","103.3","58.1","32.4","17.4","11.4","9.9","26.3","0","0","0","0","0","0","124","94","34","12","0","134","68","25","32"
46095,Polonia U17 vs Widzew U17,Filip Pietrzak ,all, game, 46095.565413194,46095.601454861,"3016",5.09,178.235,0,189.5783,4,57,53,32.7683,101.2606,7.9543,3.5458,38.5838,0,6.9689,7.8445,"2.7508","1.8192","0.3417","0.1577","0.0205","2568.9","466.2","55.6","21","2.3","16","4","1","0","0","0","16","13","11","3","1.969","0.4299","0.135","0.0493","0.0215","1230.9","183.4","48.3","15.7","6.1","1.9386","0.384","0.1169","0.0381","0.0076","1383.9","173.5","51.2","17","4","0.8917","1.2344","0.961","0.7177","0.4664","0.2786","0.2021","0.1432","0.0766","0.038","0.0804","1528.4","772.8","343.1","195","107.8","59.1","38.5","27.1","15.2","8.3","18.7","0","0","0","0","0","0","97","71","42","15","0","87","72","29","24"
46095,Polonia U17 vs Widzew U17,Bialooki,all, game, 46095.518866898,46095.601255787,"5839",9.8272,227.427,0,433.3481,6,92,89,32.7683,100.9818,6.6917,2.337,33.3685,0,5.6712,6.8564,"5.5313","3.4348","0.6337","0.1936","0.0338","6092.1","893.3","103.5","25.7","3.8","334","7","0","0","0","0","29","24","15","3","4.0035","0.8834","0.2283","0.0768","0.0292","2545.1","349.3","77","24.4","7.9","3.4732","0.8301","0.2346","0.0581","0.01","3619","363.4","99.8","27.3","5.2","1.8785","2.2952","2.0256","1.3916","0.8393","0.5144","0.3085","0.1804","0.1303","0.086","0.1774","4134.9","1379.7","727.7","385.8","199.1","110.3","61.9","35.9","26.4","18.1","38.6","0","0","0","0","0","0","227","156","66","26","0","221","119","61","28"
46095,Polonia U17 vs Widzew U17,Banas,all, game, 46095.516366898,46095.590633102,"5196",9.2684,161.258,0,393.1002,6,91,97,31.2802,107.025,7.1406,1.8621,35.5157,0,6.4178,7.2283,"4.9332","3.5215","0.6524","0.1551","0.0061","5380.7","907.4","107.3","20.5","0.7","131","3","0","0","0","0","35","19","13","8","3.5484","0.8401","0.2691","0.0868","0.0477","2135.8","331.3","89","25.9","13.2","3.3101","0.8689","0.2195","0.0591","0.0187","3338","357.5","90.7","25.4","9.8","1.5324","2.2116","1.813","1.3953","0.9256","0.5335","0.3044","0.1765","0.1203","0.0777","0.178","3536.3","1332.7","651","383.5","215.8","115","64.1","36.8","25.1","15.7","40.6","0","0","0","0","0","0","232","172","51","40","0","216","143","55","42"
46095,Polonia U17 vs Widzew U17,Ciempiel,all, game, 46095.515532407,46095.581006944,"4436",8.1999,104.19,192.4228,354.4781,3,76,81,32.0803,110.9099,6.9764,1.4092,37.633,204,6.0045,6.7175,"4.1465","3.5403","0.4089","0.0936","0.0106","4653.3","921.5","68.7","12.3","1.2","265","14","0","0","0","0","21","14","10","7","3.3167","0.6434","0.1746","0.0677","0.0387","1886.5","259.3","61.1","21.1","10.6","3.0511","0.6776","0.1853","0.0386","0.0063","3033.5","283.8","77.1","20.3","3.7","1.1495","1.9514","1.8065","1.4687","0.8467","0.3909","0.2265","0.1399","0.0725","0.0464","0.1009","3022","1185.9","631.5","398.6","199.1","88.9","51.3","29.6","16.2","10.8","23.1","3988.3","129.7","183.1","264.5","1091.4","0","165","139","57","19","0","176","105","45","36"
46095,Polonia U17 vs Widzew U17,Tutka,all, game, 46095.58596875,46095.601498843,"1279",2.3892,93.307,0,93.2503,2,19,25,29.7762,112.0835,8.5318,4.3772,45.174,0,4.5,6.7645,"0.2045","1.9239","0.1675","0.0924","0.0009","482.5","819.7","27.2","12.2","0.1","48","0","0","0","0","0","7","6","4","1","0.9319","0.1879","0.0579","0.0189","0.0096","530.5","74.5","18.9","6","2.3","0.9402","0.1784","0.0519","0.0106","0.0019","609.4","73.9","20.2","5.1","0.9","0.3501","0.5471","0.5025","0.3987","0.2131","0.1311","0.1002","0.0532","0.0372","0.0195","0.0365","605.5","328.2","176","108.3","50.2","26.6","17.8","10","7.4","4.2","7.5","0","0","0","0","0","0","50","32","15","4","0","46","24","16","9"
46095,Polonia U17 vs Widzew U17,Tyszko J,all, game, 46095.51541088,46095.580001157,"4360",7.8356,75.457,0,335.6445,2,79,74,28.3202,107.8296,6.8929,1.0384,35.7656,0,5.3734,7.2756,"3.8172","3.3998","0.5432","0.0755","0","4602.6","879","88.7","10.2","0","176","3","0","0","0","0","22","27","8","7","3.0227","0.6997","0.2256","0.0708","0.0234","1710.3","262.2","81.6","21.5","6.4","2.8341","0.711","0.1953","0.0449","0.0081","3104.4","282.2","86.2","21.4","4.3","1.1118","1.6808","1.6436","1.3839","0.8551","0.508","0.2694","0.1574","0.0825","0.0485","0.0945","3156.3","1008.9","577.2","377.4","204.4","110.8","58.2","35.3","18.8","10.8","22.4","0","0","0","0","0","0","149","152","54","25","0","170","131","50","24"
46095,Polonia U17 vs Widzew U17,Lesniewski,all, game, 46095.517613426,46095.601047454,"5943",10.4239,179.745,0,460.6805,4,78,68,32.5123,105.2392,6.9022,1.8147,37.3979,0,4.9778,6.4593,"6.0248","3.6104","0.6089","0.1575","0.0222","6142.5","942.7","100.3","20.7","2.5","317","3","0","0","0","0","31","22","13","5","4.3504","0.872","0.2128","0.0496","0.0241","2595","349.2","70.7","16.6","7","3.818","0.8127","0.2221","0.0512","0.011","3678.3","370.5","94.3","22.1","5","1.7754","2.9495","2.1021","1.3837","0.9385","0.4984","0.2958","0.1596","0.0966","0.0685","0.156","3818.7","1765.3","752.1","385.3","219.2","106.5","60.9","32.2","20.2","13.9","34.4","0","0","0","0","0","0","244","156","55","23","0","266","122","42","26"
46095,Polonia U17 vs Widzew U17,SKROK,all, game, 46095.573005787,46095.601113426,"2376",4.4254,87.15,0,194.5104,1,35,34,31.6323,111.7524,8.8316,2.2008,49.8291,0,6.4556,6.5112,"0.3134","3.7685","0.2563","0.0724","0.0147","741.3","1633.4","42.4","9.7","1.7","187","5","0","0","0","0","11","13","4","1","1.7581","0.4118","0.1047","0.0205","0.0125","1009.4","159.8","36.2","6.3","3.6","1.603","0.3868","0.1012","0.0213","0.0054","999.6","156.9","43","10.4","3.3","0.5698","1.2014","1.0033","0.6578","0.3872","0.2232","0.1384","0.0796","0.056","0.0415","0.067","953.1","720.4","351.3","181.3","92.3","50","28.8","16.7","11.3","8.1","15.2","0","0","0","0","0","0","86","72","22","13","0","117","61","22","12"
46095,Polonia U17 vs Widzew U17,Zieba,all, game, 46095.517355324,46095.587306713,"4823",8.0251,148.522,0,348.7912,3,112,104,33.5523,99.8359,6.696,1.8477,30.1123,0,6.2134,6.4889,"0.9539","6.3336","0.5891","0.1169","0.0316","3094.8","2834.6","95","15.8","3.5","233","7","1","0","0","0","43","20","7","6","3.0725","0.7909","0.258","0.0949","0.0407","2037.9","309.2","83.1","30.2","10.9","2.6942","0.7315","0.2444","0.0776","0.0205","3121.6","305.2","98.9","36.5","10.2","1.6495","1.7556","1.4219","1.1074","0.7507","0.4761","0.269","0.1706","0.1184","0.0856","0.2204","3681.3","1091.6","502.6","302.5","177","101.8","55.6","39","24.3","17.8","50.2","0","0","0","0","0","0","159","126","71","41","0","179","101","72","32"
